diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C1399930	Attention deficit-hyperactivity	disease		Mental or Behavioral Dysfunction	1	1
C1401162	Carbohydrate intolerance	disease	C06;C18	Disease or Syndrome	1	1
C1401781	Short uvula	phenotype		Finding	2	0
C1402291	Pigmented lesions	disease		Disease or Syndrome	3	2
C1402294	Primary Lesion	phenotype		Disease or Syndrome	8	4
C1402315	Vascular lesions	disease		Disease or Syndrome	9	5
C1405301	Poliomyelitis, paralytic	disease		Disease or Syndrome	1	1
C1405458	Language Problems	phenotype		Mental or Behavioral Dysfunction	2	1
C1405854	Retinitis punctata albescens (disorder)	disease	C11	Disease or Syndrome	10	4
C1405984	Absent radius	disease		Congenital Abnormality	1	0
C1406659	Symptomatic epilepsy	disease		Disease or Syndrome	9	3
C1408258	Kidney damage	phenotype		Finding	6	0
C1411006	Finger contracture	phenotype		Finding	2	0
C1411934	Mycobacterium leprae infection	disease		Disease or Syndrome	1	1
C1412004	Tumor of the Pineal Region	disease	C04;C10	Neoplastic Process	2	1
C1414017	DEAFNESS, AUTOSOMAL RECESSIVE 25	disease		Disease or Syndrome	8	2
C1414216	Dystonia 6, torsion (disorder)	disease	C16;C10	Disease or Syndrome	24	26
C1415817	HETEROTAXY, VISCERAL, 2, AUTOSOMAL	disease		Disease or Syndrome	5	4
C1419610	RP23 gene	disease		Disease or Syndrome	1	0
C1419614	RETINITIS PIGMENTOSA 28	disease		Disease or Syndrome	7	7
C1423873	CONE-ROD DYSTROPHY 9	disease		Disease or Syndrome	5	0
C1441613	Immune diffusion	phenotype		Laboratory Procedure	1	0
C1442786	Acute respiratory tract infection	disease	C01;C08	Disease or Syndrome	3	1
C1442837	Myocardial necrosis	disease	C14	Disease or Syndrome	2	1
C1443016	Estradiol level result	phenotype		Laboratory or Test Result	75	8
C1443228	Carnitine Acetyltransferase Deficiency	phenotype	C23;C16;C18;C11;C10;F01	Disease or Syndrome	2	1
C1443237	Healthcare associated pneumonia	phenotype	C23;C01;C08	Disease or Syndrome	2	1
C1443892	Chronic Q Fever	disease	C01	Disease or Syndrome	9	3
C1443924	Severe diarrhea	phenotype	C23	Sign or Symptom	6	4
C1444844	Juvenile idiopathic arthritis, enthesitis related arthritis	disease	C17;C05;C20	Disease or Syndrome	1	1
C1445953	Poor eye contact	phenotype	F03	Finding	6	2
C1445957	Serum total cholesterol measurement	phenotype		Laboratory Procedure	1243	44
C1446147	IgG Index (procedure)	phenotype		Laboratory Procedure	4	1
C1446648	Non-specific brain syndrome	group	C10	Disease or Syndrome	1	1
C1446712	Overlapping fingers	disease		Acquired Abnormality	2	0
C1449563	Cardiomyopathy, Familial Idiopathic	disease	C14	Disease or Syndrome	243	154
C1449842	Pseudohypoaldosteronism, Type I, Autosomal Dominant	disease	C16;C13;C12	Disease or Syndrome	20	7
C1449843	Pseudohypoaldosteronism, Type I, Autosomal Recessive	disease	C16;C13;C12	Disease or Syndrome	6	4
C1449844	Pseudohypoaldosteronism, Type II	disease	C16;C13;C12	Disease or Syndrome	42	3
C1450051	Autosomal Recessive Emery-Dreifuss Muscular Dystrophy	disease	C16;C05;C10	Disease or Syndrome	2	2
C1455705	Pulmonary Histiocytosis X	disease	C08;C15	Disease or Syndrome	2	3
C1455734	Congenital hypoparathyroidism	disease	C19	Congenital Abnormality	1	1
C1456144	Dental caries pit and fissure	disease	C07	Disease or Syndrome	6	2
C1456145	Dental caries of smooth surface	disease	C07	Disease or Syndrome	12	2
C1456326	Selective mutism specific to childhood and adolescence	phenotype		Mental or Behavioral Dysfunction	2	1
C1456332	Stimulant abuse	disease	C25;F03	Mental or Behavioral Dysfunction	1	1
C1456418	Absence of muscle	disease		Congenital Abnormality	2	2
C1456582	Vision Impairment and Blindness	disease		Disease or Syndrome	1	1
C1456624	Methamphetamine abuse	disease	C25;F03	Mental or Behavioral Dysfunction	4	2
C1456687	Polio and Post-Polio Syndrome	disease	C01	Disease or Syndrome	1	1
C1456781	Benign melanocytic nevus	disease	C04	Neoplastic Process	20	21
C1456784	Paranoia	disease	F03	Mental or Behavioral Dysfunction	5	3
C1456852	Ventouse delivery (finding)	phenotype		Finding	3	0
C1456868	Diabetic foot ulcer	disease	C17;C19;C14	Disease or Syndrome	17	9
C1456873	alpha^+^ Thalassemia	disease	C16;C15	Disease or Syndrome	16	9
C1458140	Bleeding tendency	phenotype	C15	Pathologic Function	14	1
C1458155	Mammary Neoplasms	group	C04;C17	Neoplastic Process	385	113
C1504336	Polypoidal choroidal vasculopathy	disease		Disease or Syndrome	67	71
C1504375	Diabetic macroangiopathy	disease		Disease or Syndrome	2	1
C1504404	Hippocampal sclerosis	disease		Disease or Syndrome	14	12
C1504412	Testotoxicosis	disease	C19	Disease or Syndrome	10	9
C1504532	Post transplant diabetes mellitus	disease		Disease or Syndrome	11	9
C1510428	Cerebral abscess	disease	C01;C10	Disease or Syndrome	1	1
C1510455	Acrocephalosyndactylia	disease	C16;C05	Congenital Abnormality	1	1
C1510460	Orofaciodigital Syndrome I	disease	C16;C05	Disease or Syndrome	108	6
C1510471	Vitamin Deficiency	group	C18	Disease or Syndrome	2	2
C1510472	Drug Dependence	group	C25;F03	Mental or Behavioral Dysfunction	31	26
C1510475	Diverticulosis	disease	C23;C06	Disease or Syndrome	6	2
C1510489	Cerebral Amyloid Angiopathy, Hereditary	disease	C16;C18;C10;C14	Disease or Syndrome	4	4
C1510502	Oxyphilic Adenoma	disease	C04	Neoplastic Process	3	1
C1510586	Autism Spectrum Disorders	disease	F03	Mental or Behavioral Dysfunction	331	203
C1510885	Angiogenic Switch	disease		Neoplastic Process	3	2
C1511306	Breast Diffuse Large B-Cell Lymphoma	disease	C04;C20;C15	Neoplastic Process	1	1
C1511789	Desmoplastic	disease		Disease or Syndrome	4	3
C1512127	HER2 gene amplification	disease		Disease or Syndrome	14	13
C1512260	Grade I Meningioma	disease	C04;C10	Neoplastic Process	1	1
C1512409	Hepatocarcinogenesis	disease	C23;C04	Neoplastic Process	24	22
C1512419	Hereditary Melanoma	disease	C16;C04;C17	Neoplastic Process	67	122
C1512508	Human herpesvirus 8 infection	disease	C01;C20	Disease or Syndrome	2	1
C1512981	Mammary Tumorigenesis	phenotype	C23;C04	Neoplastic Process	5	3
C1513269	Microcysts	disease	C23;C04	Anatomical Abnormality	2	1
C1513302	Mild Adverse Event	phenotype		Finding	7	1
C1513734	Solid/Multicystic Ameloblastoma	disease	C04	Neoplastic Process	10	1
C1514422	Glioblastoma, IDH-Wildtype	disease	C04	Neoplastic Process	4	2
C1515091	Surgically-Created Resection Cavity	disease		Acquired Abnormality	3	2
C1516061	Astler-Coller B1 Rectal Carcinoma	disease		Neoplastic Process	1	1
C1516490	Cholangiolocellular Carcinoma	disease	C04	Neoplastic Process	1	1
C1516553	Prefibrotic/Early Primary Myelofibrosis	disease	C15	Neoplastic Process	1	1
C1516974	Estrogen Receptor Status - Clinical Trial Eligibility Criteria	phenotype		Clinical Attribute	2	1
C1518693	Clear cell adenocarcinoma of ovary	disease	C04	Neoplastic Process	2	1
C1518922	peak expiratory flow (procedure)	phenotype		Laboratory Procedure	119	1
C1519086	Pilomyxoid astrocytoma	disease	C04	Neoplastic Process	2	2
C1519176	Salivary Gland Pleomorphic Adenoma	disease	C04;C07	Neoplastic Process	9	3
C1519214	Glioblastoma, IDH-Mutant	disease	C04	Neoplastic Process	4	4
C1519346	Skin Carcinogenesis	disease	C23;C04	Neoplastic Process	7	2
C1519383	Smoking Behaviors	phenotype	F01	Individual Behavior	742	18
C1519670	Tumor Angiogenesis	phenotype	C23	Neoplastic Process	5	3
C1519680	Tumor Immunity	phenotype	C23	Disease or Syndrome	2	1
C1519689	Tumor Promotion	phenotype	C23;C04	Neoplastic Process	2	2
C1522133	Hypercholesterolemia result	phenotype		Finding	415	2
C1522135	Hypermagnesemia result	phenotype		Finding	1	0
C1524032	Depression and Suicide	disease		Mental or Behavioral Dysfunction	2	1
C1527231	Adrenomyeloneuropathy	disease	C16;C18;C10;C19	Disease or Syndrome	2	2
C1527304	Allergic Reaction	phenotype	C20	Pathologic Function	1019	5
C1527336	Sjogren's Syndrome	disease	C11;C17;C05;C20;C07	Disease or Syndrome	47	15
C1527338	Hereditary Cerebral Amyloid Angiopathy, Icelandic Type	disease	C16;C18;C10;C14	Disease or Syndrome	2	4
C1527344	Dysphonia	phenotype	C23;C08;C10;C09	Mental or Behavioral Dysfunction	4	2
C1527349	Ductal Breast Carcinoma	disease	C04	Neoplastic Process	10	6
C1527366	Salaam Seizures	disease	C10	Disease or Syndrome	9	3
C1527390	Neoplasms, Intracranial	group	C04;C10	Neoplastic Process	4	3
C1527402	Narcotic Dependence	disease	C25;F03	Mental or Behavioral Dysfunction	1	1
C1527405	Erythrocytosis	phenotype	C15	Finding	1	0
C1527411	Thrombosis of retinal vein	disease	C11;C14	Disease or Syndrome	1	1
C1531500	Alpha carotene level	phenotype		Laboratory Procedure	3	1
C1531553	Dendritic cell neoplasm	disease	C04;C15	Neoplastic Process	2	1
C1531608	Smoldering myeloma	disease	C04;C20;C15	Neoplastic Process	1	1
C1531624	Cardioembolic stroke	disease		Disease or Syndrome	28	15
C1531773	Currarino triad	disease	C16;C06;C10	Disease or Syndrome	7	4
C1531795	A pattern strabismus	disease		Disease or Syndrome	1	1
C1533041	Primary congenital glaucoma	disease	C16;C11;C10	Disease or Syndrome	25	25
C1533060	Multifocal choroiditis	disease		Disease or Syndrome	1	1
C1533172	Infantile nystagmus syndrome	disease	C11;C10	Disease or Syndrome	8	8
C1533217	Methamphetamine dependence	disease	C25;F03	Mental or Behavioral Dysfunction	9	10
C1533592	Malignant Paraganglionic Neoplasm	disease	C04	Neoplastic Process	3	2
C1533847	Disorder of skeletal muscle	group	C05;C10	Disease or Syndrome	10	8
C1535510	ADENOMAS AND ADENOCARCINOMAS	group	C04	Neoplastic Process	2	1
C1535893	Orthostatic intolerance	phenotype	C23;C10	Finding	2	1
C1535926	Neurodevelopmental Disorders	group	F03	Mental or Behavioral Dysfunction	14	8
C1535939	Pneumocystis jiroveci pneumonia	disease	C01;C08	Disease or Syndrome	5	5
C1535978	Hyperchylomicronemia	phenotype	C18	Finding	2	0
C1536085	Geographic Atrophy	disease	C11	Disease or Syndrome	81	31
C1536148	Chocolate cyst of ovary	disease	C04;C13;C19	Neoplastic Process	4	3
C1536220	ST segment elevation myocardial infarction	disease	C23;C14	Disease or Syndrome	16	12
C1536451	Central areolar choroidal sclerosis	disease	C11	Disease or Syndrome	5	6
C1536500	Deficiency of acetyl-CoA acetyltransferase	disease	C16;C18	Disease or Syndrome	30	20
C1540912	Hypereosinophilic syndrome	disease	C15	Disease or Syndrome	2	2
C1541316	Adult Giant Cell Glioblastoma	disease	C04	Neoplastic Process	3	5
C1541317	Adult Gliosarcoma	disease	C04	Neoplastic Process	5	2
C1541567	Adult Oligodendroglial Tumor	disease		Neoplastic Process	2	1
C1541923	Infective endocarditis	disease	C14	Disease or Syndrome	9	4
C1560249	Adverse Event Associated with Cardiac Arrhythmia	phenotype		Disease or Syndrome	5	4
C1560305	Prolonged QTc interval	phenotype		Pathologic Function	1	1
C1561643	Chronic Kidney Diseases	group	C13;C12	Disease or Syndrome	306	106
C1561826	Overweight and obesity	disease		Disease or Syndrome	29	20
C1561955	Fibrinogen, CTCAE	phenotype		Finding	63	6
C1562113	Fleck corneal dystrophy	disease	C16;C11	Disease or Syndrome	12	8
C1562230	Retinochoroidopathy	disease	C11	Disease or Syndrome	1	1
C1562585	Leprosy, Multibacillary	disease	C01	Disease or Syndrome	16	8
C1562894	Thiel-Behnke corneal dystrophy	disease	C16;C11	Disease or Syndrome	4	6
C1562908	Leprosy, Paucibacillary	disease	C01	Disease or Syndrome	2	2
C1563705	Nephrogenic Diabetes Insipidus, Type I	disease	C13;C12	Disease or Syndrome	43	36
C1563706	Nephrogenic Diabetes Insipidus, Type II	disease	C13;C12	Disease or Syndrome	24	21
C1563715	Andersen Syndrome	disease	C23;C16;C14	Disease or Syndrome	38	43
C1563716	Thyroid Dysgenesis	disease	C16;C19	Congenital Abnormality	5	3
C1563719	Kallmann Syndrome 1	disease	C16;C13;C12;C19	Disease or Syndrome	30	21
C1563720	Kallmann Syndrome 2 (disorder)	disease	C16;C13;C12;C19	Disease or Syndrome	45	31
C1563743	adiposity	phenotype		Organism Attribute	10	3
C1565489	Renal Insufficiency	disease	C13;C12	Disease or Syndrome	42	28
C1565886	Indirect Hyperbilirubinemia, Neonatal	disease	C23;C16	Disease or Syndrome	1	1
C1567435	Polycystic Kidney - body part	disease	C16;C13;C12	Anatomical Abnormality	1	1
C1567741	Alport Syndrome	disease	C16;C13;C17;C12	Disease or Syndrome	314	9
C1567742	Alport Syndrome, X-Linked	disease	C16;C13;C17;C12	Disease or Syndrome	8	5
C1567744	Alport Syndrome, Autosomal Recessive	disease	C16;C13;C17;C12	Disease or Syndrome	2	2
C1568247	Usher Syndrome, Type I	disease	C23;C16;C11;C10;C09	Disease or Syndrome	168	85
C1568248	Usher Syndrome, Type III	disease	C23;C16;C11;C10;C09	Disease or Syndrome	24	23
C1568249	Usher Syndrome, Type II	disease	C23;C16;C11;C10;C09	Disease or Syndrome	7	7
C1568272	Tendinopathy	disease	C05;C26	Disease or Syndrome	16	8
C1568868	Oral Mucositis	disease	C07	Disease or Syndrome	16	11
C1569637	Adenocarcinoma, Endometrioid	disease	C04;C13;C19	Neoplastic Process	4	2
C1578482	Valgus deformities of feet	disease	C05	Anatomical Abnormality	7	0
C1578917	Islet cell adenomatosis	disease	C06;C04;C19	Neoplastic Process	1	1
C1608393	Megacystis microcolon intestinal hypoperistalsis syndrome	disease	C16;C06	Disease or Syndrome	3	3
C1608408	Malignant transformation	phenotype		Neoplastic Process	20	13
C1608410	Head titubation	phenotype		Sign or Symptom	1	0
C1608426	Compensated cirrhosis	disease		Disease or Syndrome	2	2
C1609528	Restrictive deficit on pulmonary function testing	phenotype	C08	Disease or Syndrome	6	0
C1609538	Latent Tuberculosis	disease	C01	Disease or Syndrome	18	7
C1610065	Urethral atresia	disease		Congenital Abnormality	1	0
C1610621	Factor II mutation	disease	C16;C15	Disease or Syndrome	2	2
C1611184	Calcification of coronary artery	phenotype	C18;C14	Pathologic Function	205	8
C1611743	Familial (FPAH)	disease		Disease or Syndrome	276	285
C1619634	erythrocyte sedimentation rate result	phenotype		Laboratory or Test Result	5	1
C1619700	RENAL ADYSPLASIA	disease	C16;C13;C12	Congenital Abnormality	6	1
C1619716	Cystatin C measurement	phenotype		Laboratory Procedure	8	5
C1619727	Decompensated cirrhosis of liver	phenotype	C23;C06	Disease or Syndrome	2	1
C1619738	Immune Reconstitution Inflammatory Syndrome	disease	C20	Disease or Syndrome	5	2
C1621958	Glioblastoma Multiforme	disease	C04	Neoplastic Process	186	134
C1622345	Meretoja syndrome	disease	C16;C18;C11	Disease or Syndrome	1	2
C1622502	Portal cirrhosis	phenotype	C23;C06	Disease or Syndrome	4	2
C1623038	Cirrhosis	disease	C23	Disease or Syndrome	110	153
C1623209	Okihiro Syndrome	disease	C16;C11;C10	Disease or Syndrome	11	4
C1623258	Electrocardiography	phenotype		Diagnostic Procedure	16	3
C1628319	Lattice corneal dystrophy Type II	disease	C16;C18;C11	Disease or Syndrome	4	9
C1629609	Age at menopause	phenotype		Finding	209	11
C1631597	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1 (disorder)	disease	C23;C14	Disease or Syndrome	121	113
C1636149	Macular dystrophy, corneal type 1	disease	C16;C11	Disease or Syndrome	54	35
C1641846	Groenouw corneal dystrophy type I (disorder)	disease	C16;C11	Disease or Syndrome	3	6
C1641852	Gelatinous droplike corneal dystrophy	disease	C16;C17	Disease or Syndrome	1	1
C1644196	Ectopia Lentis with Ectopia of Pupil	disease	C23;C16;C11;C10	Disease or Syndrome	3	0
C1654637	androgen independent prostate cancer	disease		Neoplastic Process	5	5
C1656427	Early onset schizophrenia	disease		Mental or Behavioral Dysfunction	3	2
C1690006	Lattice corneal dystrophy Type I	disease	C16;C11	Disease or Syndrome	13	38
C1691013	Macular corneal dystrophy Type II (disorder)	disease	C16;C11	Disease or Syndrome	2	0
C1691215	Penile hypospadias	disease	C16;C13;C12	Congenital Abnormality	83	34
C1692871	Inflammatory polyarthritis	disease		Disease or Syndrome	1	1
C1695689	Non-dipping	disease		Disease or Syndrome	3	1
C1695782	Cerebral hypoperfusion	disease		Disease or Syndrome	1	1
C1696701	Skin-picking	disease	F01	Mental or Behavioral Dysfunction	2	0
C1696708	Prehypertension	disease	C14	Disease or Syndrome	5	3
C1697450	obsolete Prominent epicanthal folds	disease		Congenital Abnormality	2	0
C1698196	Muscle Weakness Upper Limb	phenotype	C23;C05;C10	Finding	3	3
C1698259	HCV coinfection	disease		Disease or Syndrome	5	5
C1698581	Rokitansky Kuster Hauser syndrome	disease	C16;C13;C12;C19	Disease or Syndrome	3	2
C1699634	HER-2 positive breast cancer	disease		Neoplastic Process	1	1
C1701919	EBV viremia	disease		Disease or Syndrome	1	1
C1701938	Associated Pulmonary Arterial Hypertension	disease	C08	Disease or Syndrome	4	2
C1701939	Familial pulmonary arterial hypertension	disease		Disease or Syndrome	1	1
C1701940	Pneumonia, Ventilator-Associated	disease	C23;C01;C08	Disease or Syndrome	3	2
C1704214	Lipogranuloma	disease	C23;C18;C15	Disease or Syndrome	2	2
C1704231	Metastatic Malignant Neoplasm to the Leptomeninges	disease	C10	Neoplastic Process	9	10
C1704268	Delusion of persecution	disease	F01	Mental or Behavioral Dysfunction	2	1
C1704272	Benign Prostatic Hyperplasia	disease	C12	Disease or Syndrome	91	48
C1704317	Leukokeratosis	disease	C23;C04	Anatomical Abnormality	2	1
C1704321	Nephrotic Syndrome, Minimal Change	disease	C13;C12	Disease or Syndrome	10	9
C1704327	Bone Sarcoma	group	C04;C05	Neoplastic Process	4	2
C1704330	Dental Diseases	group	C07	Disease or Syndrome	1	1
C1704356	Enchondroma	disease	C04	Neoplastic Process	13	4
C1704375	Hypophosphatemic Rickets	disease	C18;C05	Disease or Syndrome	6	1
C1704380	Distal Renal Tubular Acidosis	disease	C16;C18;C13;C12	Disease or Syndrome	18	23
C1704417	Hyperlipoproteinemia Type IIb	disease	C16;C18	Disease or Syndrome	16	45
C1704423	Milroy Disease	disease	C15	Disease or Syndrome	18	12
C1704429	Hypoalphalipoproteinemia, Familial	disease	C16;C18	Disease or Syndrome	6	13
C1704436	Peripheral Arterial Diseases	group	C14	Disease or Syndrome	128	40
C1704981	Hyperparathyroidism-Jaw Tumor Syndrome	disease	C04;C05;C19;C07	Neoplastic Process	7	3
C1706004	Anhydrotic Ectodermal Dysplasias	disease	C16;C17	Congenital Abnormality	2	0
C1706410	Atopic IgE-mediated allergic disorder	disease	C20	Disease or Syndrome	2	2
C1706559	Cornea verticillata	disease		Disease or Syndrome	1	1
C1706595	Pachyonychia Congenita, Jadassohn Lewandowsky Type	disease	C16;C17	Disease or Syndrome	19	14
C1706762	Aldosterone-Producing Adrenal Cortex Adenoma	disease	C04;C19	Neoplastic Process	6	0
C1707251	Cancer Other	disease		Neoplastic Process	2	0
C1707439	Colorectal Mucinous Adenocarcinoma	disease	C04	Neoplastic Process	2	1
C1707444	Columnar Cell Change of the Breast	phenotype		Neoplastic Process	3	3
C1707446	Columnar Cell Hyperplasia of the Breast	disease		Neoplastic Process	2	3
C1708272	HIV lipodystrophy	disease	C18;C01;C17;C20	Neoplastic Process	3	1
C1708349	Hereditary Diffuse Gastric Cancer	disease	C06;C04	Neoplastic Process	119	114
C1708350	Hereditary Leiomyomatosis and Renal Cell Cancer	disease	C16;C04;C13;C17	Neoplastic Process	59	9
C1708353	Hereditary Paraganglioma-Pheochromocytoma Syndrome	disease	C16;C04	Disease or Syndrome	98	106
C1708371	Histiocytoid Cardiomyopathy	disease	C14	Disease or Syndrome	3	2
C1708550	Intimal sarcoma	disease	C04	Neoplastic Process	1	1
C1708565	Invasive Cutaneous Melanoma	disease	C04;C17	Neoplastic Process	7	4
C1708604	Keratocystic Odontogenic Tumor	disease	C04	Neoplastic Process	2	1
C1708957	Mediastinal Paraganglioma	disease		Neoplastic Process	2	1
C1709457	Papillary Thyroid Microcarcinoma	disease	C04;C19	Neoplastic Process	2	16
C1709527	B Acute Lymphoblastic Leukemia with t(9;22)(q34.1;q11.2); BCR-ABL1	disease		Neoplastic Process	11	21
C1709656	Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type	disease		Neoplastic Process	4	2
C1710096	Sinonasal undifferentiated carcinoma	disease	C04;C08;C09	Neoplastic Process	8	2
C1710547	Unilateral Breast Carcinoma	disease	C04;C17	Neoplastic Process	2	2
C1719315	Hereditary cardiac amyloidosis	disease		Disease or Syndrome	1	2
C1719316	Inherited systemic amyloidosis	disease		Disease or Syndrome	1	1
C1719404	Idiopathic transverse myelitis	disease	C04;C01;C20;C10	Disease or Syndrome	1	0
C1719494	PERIODONTITIS, LOCALIZED AGGRESSIVE	disease	C07	Disease or Syndrome	2	2
C1719495	Aggressive periodontitis, generalized	disease	C07	Disease or Syndrome	16	12
C1719498	Generalized chronic periodontitis	disease	C07	Disease or Syndrome	4	3
C1719672	Severe Sepsis	disease	C23;C01	Disease or Syndrome	29	20
C1719788	Episodic ataxia type 1	disease	C23;C10	Disease or Syndrome	15	17
C1720037	Supranuclear gaze palsy	phenotype		Finding	1	0
C1720164	Central corneal thickness	phenotype		Clinical Attribute	61	4
C1720180	Confluent drusen	disease		Disease or Syndrome	1	1
C1720189	Episodic Ataxia	disease	C23;C10	Disease or Syndrome	9	6
C1720251	Retinal pigment epithelium atrophy	disease		Acquired Abnormality	2	2
C1720416	Episodic ataxia type 2 (disorder)	disease	C23;C11;C10	Disease or Syndrome	60	36
C1720430	Papillary carcinoma, clear cell	disease	C04	Neoplastic Process	2	1
C1720452	Soft drusen	disease		Disease or Syndrome	5	5
C1720771	Testicular Hydrocele	disease	C12	Congenital Abnormality	5	1
C1720777	Functional Laterality	phenotype		Organism Attribute	2	2
C1720779	Apolipoprotein C-II Deficiency (disorder)	disease	C16;C18	Disease or Syndrome	5	1
C1720824	Sudden Cardiac Arrest	phenotype	C23;C14	Pathologic Function	32	2
C1720860	Familial Partial Lipodystrophy, Type 2	disease	C18;C17	Disease or Syndrome	23	19
C1720861	Familial Partial Lipodystrophy, Type 3	disease	C18;C17	Disease or Syndrome	14	6
C1720862	Congenital Generalized Lipodystrophy Type 1	disease	C16;C18;C17	Disease or Syndrome	25	2
C1720863	Congenital Generalized Lipodystrophy Type 2	disease	C16;C18;C17	Congenital Abnormality	30	4
C1720956	Hyper-IgM Immunodeficiency Syndrome, Type 2	disease	C16;C20;C15	Disease or Syndrome	14	6
C1720957	Hyper-IgM Immunodeficiency Syndrome, Type 3	disease	C16;C20;C15	Disease or Syndrome	3	2
C1720958	Hyper-IgM Immunodeficiency Syndrome, Type 5	disease	C16;C20;C15	Disease or Syndrome	2	2
C1720983	Channelopathies	disease	C23	Disease or Syndrome	8	7
C1720994	Eye Movement Measurements	phenotype		Diagnostic Procedure	4	1
C1721006	Keratoderma, Palmoplantar, Epidermolytic	disease	C16;C17	Disease or Syndrome	16	30
C1721007	Pachyonychia Congenita, Type 2 (disorder)	disease	C16;C17	Disease or Syndrome	13	19
C1735886	Bland White Garland Syndrome	phenotype	C23;C16;C14	Disease or Syndrome	1	0
C1735903	Chronic acidosis	phenotype	C18	Pathologic Function	1	0
C1736175	Progression of rheumatoid arthritis	phenotype		Finding	1	0
C1737329	Dysmorphism	disease	C16	Congenital Abnormality	16	5
C1739108	Latent Autoimmune Diabetes in Adults	disease	C18;C20;C19	Disease or Syndrome	12	5
C1739111	Fetus affected by placental transfer of anticonvulsant	disease		Disease or Syndrome	2	2
C1739135	Progression of prostate cancer	disease		Neoplastic Process	7	5
C1739395	Takotsubo Cardiomyopathy	disease	C14	Disease or Syndrome	3	3
C1739405	CML progression	disease		Neoplastic Process	3	2
C1740787	Cardiac autonomic neuropathy	disease	C10	Disease or Syndrome	1	1
C1740801	Exaggerated startle response	phenotype		Finding	4	0
C1740827	CLL progression	disease		Neoplastic Process	2	2
C1744559	Congenital ectodermal dysplasia of face	disease	C16;C17	Disease or Syndrome	3	1
C1762616	Meningioma, benign, no ICD-O subtype	disease	C04;C10	Neoplastic Process	30	23
C1785148	RAPP-HODGKIN SYNDROME	disease	C16;C17;C05;C07	Disease or Syndrome	3	4
C1800706	Idiopathic Pulmonary Fibrosis	disease	C08	Disease or Syndrome	63	60
C1801950	Opitz-G syndrome, type 2	disease	C16;C13;C05;C12	Disease or Syndrome	4	2
C1802395	Congenital muscular hypertrophy-cerebral syndrome	disease	C16;C10	Disease or Syndrome	50	13
C1802398	Chromosome 5, trisomy 5q	disease	C23;C16;C10	Disease or Syndrome	1	1
C1806780	Increased CSF protein	phenotype		Finding	1	1
C1809471	Familial benign hypercalcemia	disease	C16;C18;C19	Disease or Syndrome	35	29
C1812607	Aortic aneurysm and dissection	disease		Disease or Syndrome	1	1
C1820737	Temperature instability	phenotype		Finding	8	0
C1820738	Feeding intolerance	phenotype	C23	Finding	1	4
C1821417	RESTING HEART RATE	phenotype		Finding	134	7
C1824925	DEAFNESS, AUTOSOMAL RECESSIVE 70	disease		Disease or Syndrome	1	1
C1827293	Carcinoma of urinary bladder, invasive	disease	C04;C13;C12	Neoplastic Process	14	8
C1827377	Slow acetylator due to N-acetyltransferase enzyme variant	disease		Disease or Syndrome	8	5
C1827524	Wide spaced nipples	phenotype		Finding	19	4
C1827820	Fast acetylator due to N-acetyltransferase enzyme variant	disease		Disease or Syndrome	9	2
C1827841	Enzyme activity finding	phenotype	C23	Finding	2	0
C1827849	IgE-mediated allergic asthma	disease	C20	Disease or Syndrome	46	37
C1827970	Neurofibroma of subcutaneous tissue	disease	C16;C04;C10	Neoplastic Process	3	0
C1828210	Macular dystrophy, concentric annular	phenotype	C11	Finding	5	1
C1829460	Tongue thrusting	phenotype	F03	Finding	2	0
C1829703	Carnitine palmitoyl transferase 1A deficiency	disease	C16;C18	Disease or Syndrome	55	12
C1832097	EPIDERMAL DIFFERENTIATION COMPLEX	disease		Disease or Syndrome	3	1
C1832099	Wilms tumor and radial bilateral aplasia	disease	C16;C04;C13;C12	Neoplastic Process	1	0
C1832127	Square face	phenotype		Finding	1	0
C1832160	Abnormality of temperature regulation	phenotype		Finding	3	0
C1832162	HYPOTRICHOSIS, CONGENITAL, WITH JUVENILE MACULAR DYSTROPHY	disease	C11;C17	Disease or Syndrome	2	0
C1832167	Ectopia Lentis, Spontaneous Filtering Blebs, and Craniofacial Dysmorphism	disease	C16;C11;C05	Disease or Syndrome	3	0
C1832168	BLOOD GROUP--FROESE	phenotype		Finding	2	0
C1832174	DOYNE HONEYCOMB RETINAL DYSTROPHY	disease	C11;C10	Disease or Syndrome	1	10
C1832175	Cataract, Congenital, Cerulean Type, 2	disease	C11	Disease or Syndrome	5	2
C1832187	Deafness, Autosomal Dominant 12	disease	C23;C10;C09	Disease or Syndrome	20	6
C1832200	Peroxisome biogenesis disorders	group	C16;C18	Disease or Syndrome	38	36
C1832215	Athabaskan brainstem dysgenesis	disease	C23;C16;C11;C10;C09	Disease or Syndrome	2	0
C1832216	Bosley-Salih-Alorainy Syndrome	disease	C23;C16;C11;C10;C09	Disease or Syndrome	3	0
C1832232	Peroxisome Biogenesis Disorder, Complementation Group C	disease	C16;C18	Disease or Syndrome	2	1
C1832243	CARDIOMYOPATHY, DILATED, 1D (disorder)	disease	C14	Disease or Syndrome	24	94
C1832244	CARDIOMYOPATHY, DILATED, 1C (disorder)	disease	C14	Disease or Syndrome	4	2
C1832250	OBESITY, MODIFIER OF	phenotype		Finding	1	0
